"image/title/page_favicon","Favicon"
"image/help/toolbar__view-mode__list_background-image",""
"image/help/toolbar__view-mode__list--hover_background-image",""
"image/help/block-compare__placeholder_background-image",""
"image/help/list--social__item--facebook__link_background-image",""
"image/help/list--social__item--facebook__link--hover_background-image",""
"image/help/list--social__item--twitter__link_background-image",""
"image/help/list--social__item--twitter__link--hover_background-image",""
"image/help/list--social__item--google__link_background-image",""
"image/help/list--social__item--google__link--hover_background-image",""
"image/help/list--social__item--instagram__link_background-image",""
"image/help/list--social__item--instagram__link--hover_background-image",""
"image/help/list--social__item--linkedin__link_background-image",""
"image/help/list--social__item--linkedin__link--hover_background-image",""
"image/help/list--social__item--pinterest__link_background-image",""
"image/help/list--social__item--pinterest__link--hover_background-image",""
"image/help/list--social__item--tiktok__link_background-image",""
"image/help/list--social__item--tiktok__link--hover_background-image",""
"image/help/list--social__item--youtube__link_background-image",""
"image/help/list--social__item--youtube__link--hover_background-image",""
"image/help/list--social__item--flickr__link_background-image",""
"image/help/list--social__item--flickr__link--hover_background-image",""
"image/help/og-image",""
"image/fieldset/general","Allgemein"
"image/fieldset/logo","Logo"
"image/fieldset/background","Hintergrund"
"image/fieldset/footer","Footer"
"image/fieldset/add_to_links","Zu Links hinzufügen"
"image/fieldset/header","Header"
"image/fieldset/product_list","Produktliste"
"image/fieldset/social_links","Social Links"
"image/title/add-to-links-hover__wishlist_background-image","Wunschliste Icon auf Hover"
"image/title/add-to-links-hover__compare_background-image","Vergleichen Sie Icon auf Hover"
