"[Show]","[Pokaż]"
"relevant for Austrian shops","dotyczy austriackich sklepów"
"Replace with a link to the ""Shipping costs"" CMS page","Zamień na link do strony CMS „Koszty wysyłki”"
"Require Confirmation on Customer Registration and/or Checkout","Wymagaj potwierdzenia rejestracji klienta i / lub realizacji transakcji"
"Responsible according to Â§ 5 TMG","Odpowiedzialny zgodnie z § 5 TMG"
"Responsible for content","Odpowiedzialny za treść"
"Responsible for content address","Odpowiedzialny za treść adresu"
"Responsible in the interests of the press law","Odpowiedzialny w interesie prawa prasowego"
"Revocation Product Type (for extra checkout agreements)","Typ wycofania produktu (w przypadku dodatkowych umów dotyczących sprzedaży)"
"Run Blugento Localizer","Uruchom Lokalizator Zento"
"Select Locale","Wybierz Ustawienia regionalne"
"Service","Serwis"
"Shareholdings","Udziały"
"Shipping Costs","Koszt przesyłki "
"Shipping from","Wysyłka z"
"Shipping from Germany","Wysyłka z Niemiec"
"Shipping Weight %s","Waga przesyłki %"
"Show ""incl. Shipping Cost"" instead of ""excl. Shipping Cost""","Pokaż „z kosztami wysyłki” zamiast „bez kosztów wysyłki”"
"Skip installation","Pomiń instalację"
"Street","Ulica"
"Supplementary Information for Telephone","Telefon -informacje dodatkowe"
"SWIFT","SWIFT"
"Tax number","Numer podatkowy"
"Tax Settings","Ustawienia podatku"
"Telephone","Numer telefonu"
"This setting is base for the tax rate setup!","Ten formularz jest podstawą rozliczenia podatkowego!"
"Unit for Product Weight","Jednostka masy produktu"
"Update Customer Tax Classes","Zaktualizuj klasy podatkowe klienta"
"Update Product Tax Classes","Zaktualizuj klasy podatkowe produktu"
"Update System Config Settings","Zaktualizuj ustawienia konfiguracyjne systemu "
"Use Default Setting","Użyj ustawień domyślnych"
"VAT-ID","Identyfikator VAT"
"Visible in Checkout","Widoczne w kasie"
"Web","Web"
"Will only be displayed if at least one product of the selected type is in cart","Wyświetla się tylko wtedy, gdy co najmniej jeden produkt wybranego typu znajduje się w koszyku"
"Zip","Zip"
"cms_page_shipping","Wysyłka"
"Set Product as New from Date","Ustaw produkt jako nowość od daty"
"Set Product as New to Date","Ustaw produkt jako nowość do daty"
"Country of Manufacture","Kraj produkcji"
"Delivery Time","Czas dostawy"
"Subtitle","Dopisek"
"Additional Info","Dodatkowe informacje"
"Product Status","Status produktu"
"Manufacturer","Producent"
