"scss/title/data-table__th_background-color","Kolor tła nagłówka"
"scss/title/data-table__th_color","Kolor tekstu nagłówka"
"scss/title/data-table_border-color","Kolor granicy"
"scss/title/font_base","Czcionka"
"scss/title/google_fonts","Czcionki google"
"scss/title/header_separator-line_border-color","Kolor separatora"
"scss/title/input-text_background-color","Kolor tła"
"scss/title/input-text_border","Grancia"
"scss/title/input-text_border-color","Kolor granicy"
"scss/title/letter-spacing","Odległość między literami "
"scss/title/message--error__background-color","Kolor tła błędu"
"scss/title/message--notice_background-color","Kolor tła informacja"
"scss/title/message--success_background-color","Kolor tła sukces"
"scss/title/mini-cart__block-content_background-color","Kolor tła"
"scss/title/mini-cart__block-content_color","Kolor tekstu"
"scss/title/mini-cart__link_color","Kolor tekstu linka"
"scss/title/mini-cart__link--hover_color","Kolor po najechaniu kursorem"
"scss/title/nav__button_background-color","Kolor tła"
"scss/title/nav__button_color","Kolor tekstu"
"scss/title/nav__button_font","Czcionka"
"scss/title/nav--primary__level0-link_color","Kolor tekstu"
"scss/title/nav--primary__level0-link_font","Czcionka"
"scss/title/nav--primary__level0-link_padding","Wypełnienie przedmiotu"
"scss/title/nav--primary__level0-link_padding-right","Prawo i Lewo"
"scss/title/nav--primary__level0-link_padding-top","Góra i Dół"
"scss/title/nav--primary__level0-link--hover_color","Kolor po najechaniu kursorem"
"scss/title/nav--primary__level0-list_padding-global","Główne"
"scss/title/nav--primary__level0-list-separator_color","Kolor separatora"
"scss/title/nav--primary__level1-link_font","Czcionka"
"scss/title/nav--primary__level2_background-color","Kolor tła"
"scss/title/nav--primary__level2-link_color","Kolor tekstu"
"scss/title/nav--primary__level2-link_font","Czcionka"
"scss/title/nav--primary__level2-link_padding","Wypełnienie przedmiotu"
"scss/title/nav--primary__level2-link_padding-right","Prawo i Lewo"
"scss/title/nav--primary__level2-link_padding-top","Góra i Dół"
"scss/title/nav--primary__level3_background-color","Kolor tła"
"scss/title/nav--primary__level3-link_color","Kolor tekstu"
"scss/title/nav--primary__level3-link_font","Czcionka"
"scss/title/nav--primary__level3-link_padding","Wypełnienie przedmiotu"
"scss/title/nav--primary__level3-link_padding-right","Prawo i Lewo"
"scss/title/nav--primary__level3-link_padding-top","Góra i Dół"
"scss/title/nav--primary__level4_background-color","Kolor tła"
"scss/title/nav--primary__level4-link_color","Kolor tekstu"
"scss/title/nav--primary__level4-link_font","Czcionka"
"scss/title/nav--primary__level4-link_padding","Wypełnienie przedmiotu"
"scss/title/nav--primary__level4-link_padding-right","Prawo i Lewo"
"scss/title/nav--primary__level4-link_padding-top","Góra i Dół"
"scss/title/nav--primary__submenu_background-color","Kolor tła"
"scss/title/nav--primary__submenu_color","Kolor tekstu"
"scss/title/nav--primary__ul-level0-link_padding","Wypełnienie przedmiotu"
"scss/title/nav--primary_background-color","Kolor tła"
"scss/title/nav--primary_border-bottom","Dolna granicy"
"scss/title/nav--primary_border-bottom_color","Kolor dolnej granicy"
"scss/title/nav--primary_border-left","Lewa granica"
"scss/title/nav--primary_border-left_color","Kolor lewej granicy"
"scss/title/nav--primary_border-right","Prawa granica"
"scss/title/nav--primary_border-right_color","Kolor prawej granicy"
"scss/title/nav--primary_border-top","Górna grancia"
"scss/title/nav--primary_border-top_color","Kolor górnej granicy"
"scss/title/page_background-color","Kolor tła"
"scss/title/page_color","Kolor tekstu"
"scss/title/page_size","Romiar strony"
"scss/title/page-container_background-color","Kolor tła kontenera"
"scss/title/page-footer__link--hover_color","Kolor linku po najechaniu kursorem"
"scss/title/page-footer__marketing-box--newsletter_color","Kolor tekstu newslettera"
"scss/title/page-footer__marketing-box--shipping_color","Kolor tekstu lewo"
"scss/title/page-footer__marketing-box--support_color","Kolor tekstu środek"
"scss/title/page-footer_background-color","Kolor tła"
"scss/title/page-footer_color","Kolor tekstu"
"scss/title/page-footer_link-color","Kolor linku"
"scss/title/page-header_background-color","Kolor tła"
"scss/title/page-header_color","Kolor tekstu"
"scss/title/page-header_link_color","Kolor tekstu"
"scss/title/page-main_background-color","Kolor tła"
"scss/title/page-main_color","Kolor tekstu"
"scss/title/page-subtitle_color","Kolor tekstu podtytułu"
"scss/title/page-subtitle_font","Czcionka podtytułu"
"scss/title/page-title_color","Kolor tekstu tytułu"
"scss/title/page-title_font","Czcionka tytułu"
"scss/title/preloader__cicle-1_stroke","Kolor 1"
"scss/title/preloader__cicle-2_stroke","Kolor 2"
"scss/title/product_price_font","Czcionka"
"scss/title/product_price_list_font","Czcionka"
"scss/title/product_title_font","Czcionka"
"scss/title/product-category__title_color","Kolor tekstu"
"scss/title/product-category__title_font","Czcionka"
"scss/title/product-compare__item__product-image_background-color","Kolor obrazu w tle"
"scss/title/product-view__add-to-cart__button_background-color","Kolor tła"
"scss/title/product-view__add-to-cart__button_color","Kolor tekstu"
"scss/title/product-view__add-to-cart__button_font","Czcionka"
"scss/title/product-view__add-to-cart__input_display","Wyświetlanie"
"scss/title/product-view__availability__in-stock_color","Kolor w asortymencie"
"scss/title/product-view__availability__out-of-stock_color","Kolor brak asortymentu"
"scss/title/product-view__availability_display","Wyswietlenie"
"scss/title/product-view__availability_font","Czcionka"
"scss/title/product-view__price_color","Kolor "
"scss/title/product-view__product-collateral__list__item_color","Kolor tekstu"
"scss/title/product-view__product-collateral__list__item-active_background-color","Aktywny kolor tła"
"scss/title/product-view__product-collateral__list__item-active_color","Aktywny kolor tekstu"
"scss/title/product-view__product-image_background-color","Kolor tła"
"scss/title/product-view__product-name_color","Kolor tekstu"
"scss/title/product-view__product-options__required_color","Kolor tekstu"
"scss/title/product-view__product-options__required_font","Czcionka"
"scss/title/product-view__product-shop__breadcrumbs_display","Wyświetlenie"
"scss/title/product-view__sku_display","Wyświetlenie SKU"
"scss/title/products-grid__item__characteristics_color","Kolor "
"scss/title/products-grid__item__price_color","Kolor "
"scss/title/products-grid__item__product-name_color","Kolor tekstu"
"scss/title/products-grid__item__product-name_font","Czcionka"
"scss/title/products-grid__item__tax-details_display","Wyświetlenie podatku"
"scss/title/products-grid__item-inner_background-color","Kolor tła"
"scss/title/products-grid__product-box_text-align","Pozycja informacyjna - tryb siatki"
"scss/title/products-list__item__actions_margin","Margines"
"scss/title/products-list__item__actions_margin-top","Góra"
"scss/title/products-list__item__price_margin","Margines"
"scss/title/products-list__item__price_margin-bottom","Dół"
"scss/title/products-list__item__product-image_background-color","Kolor tła"
"scss/title/products-list__item__product-name_margin","Margines"
"scss/title/products-list__item__product-name_margin-bottom","Dół"
"scss/title/products-list__product-box_text-align","Pozycja informacyjna – tryb listy"
"scss/description/account__block-content__list__current_background-color","Kolor tła aktywnego linku do nawigacji klienta"
"scss/description/account__block-content__list__current_color","Kolor tekstu aktywnego linku do nawigacji klienta"
"scss/description/account__block-content__list_color","Kolor tekstu linku do nawigacji klienta"
"scss/description/add-to-links_color","Dodaj do listy życzeń / Porównaj kolor czcionki"
"scss/description/add-to-links_font",
"scss/description/badge_font",
"scss/description/badge--new_background-color","Kolor tła znaku Nowość"
"scss/description/badge--new_color","Kolor tekstu znaku Nowość"
"scss/description/badge--new_display","Tryb wyswietlania dla znaku Nowość"
"scss/description/badge--sale_background-color","Kolor tła dla znaku Nowość"
"scss/description/badge--sale_color","Kolor tekstu znaku Wyprzedaż"
"scss/description/badge--sale_display","Tryb wyświetlania dla znaku Wyprzedaż"
"scss/description/block__block-title_background-color","Kolor tła tytułów w blokach bocznych (np. Ostatnio oglądane produkty, tagi, PayPal, lista życzeń)"
"scss/description/block__block-title_color","Kolor tekstu tytułów w blokach bocznych (np. Ostatnio oglądane produkty, tagi, PayPal, lista życzeń)"
"scss/description/block-layered-nav__title_color",
"scss/description/block-layered-nav__title_font",
"scss/description/breadcrumbs__leaf_color",
"scss/description/breadcrumbs_color","Kolor tekstu dla okruszków na każdej stronie"
"scss/description/breadcrumbs_display","Tryb wyświetlania dla okruszków na każdej stronie"
"scss/description/breadcrumbs_font",
"scss/description/button_background-color","Kolor tła przycisku za wyjatkiem akcji i kuponu"
"scss/description/button_color","Kolor tekstu przycisku"
"scss/description/button-action_background-color","Kolor tła przycisku akcji"
"scss/description/button-action_color","Kolor czcionki przycisku akcji"
"scss/description/cart__btn-checkout_background-color","Kolor tła przycisku „przejdź do kasy”"
"scss/description/cart__btn-checkout_color","Kolor tekstu przycisku „przejdź do kasy”"
"scss/description/cart__cart-totals__table_background-color","Kolor tła całej sekcji"
"scss/description/cart__cart-totals__table_color","Kolor tekstu całej sekcji"
"scss/description/cart__cart-totals__total_color","Kolor tła Grand Total"
"scss/description/cart__discount__button_background-color","Kolor tła przycisku „uźyj kodu”"
"scss/description/cart__discount__button_color","Kolor tekstu przycisku „uźyj kodu”"
"scss/description/cart-table__item-options_color","Kolor tekstu opcje produktu "
"scss/description/cart-table__item-options_font",
"scss/description/cart-table__product-image_background-color","Kolor tła obrazu każdego elementu koszyka"
"scss/description/cart-table__product-name_color","Kolor tekstu dla nazwy produktu"
"scss/description/cart-table__product-name_font",
"scss/description/cart-table__product-price_color","Kolor ceny"
"scss/description/cart-table__product-price_font",
"scss/description/cart-table__product-sku_display","Tryb wyświetlania dla SKU"
"scss/description/cart-table__sku-label_color","Kolor tekstu SKU"
"scss/description/cart-table__sku-label_font",
"scss/description/cart-table_background-color","Kolor tła dla przedmiotów w koszyku"
"scss/description/checkout-onepage__buttons_background-color","Kolor tła dla przycisków w kasie"
"scss/description/checkout-onepage__buttons_color","Kolor tekstu dla przycisków w kasie"
"scss/description/checkout-onepage__buttons_font",
"scss/description/checkout-onepage__progress-title_background-color","Kolor tła tytułu sekcji postępu"
"scss/description/checkout-onepage__progress-title_color","Kolor tekstu tytułu sekcji postępu"
"scss/description/checkout-onepage__progress-title_font",
"scss/description/checkout-onepage__step-title_active_color","Kolor tekstu tytułu aktywnego kroku"
"scss/description/checkout-onepage__step-title_border-bottom-color","Kolor dolnej granicy tytułu kroku"
"scss/description/checkout-onepage__step-title_color","Kolor tekstu tytułu kroku"
"scss/description/checkout-onepage__step-title_font",
"scss/description/color--fifth",
"scss/description/color--fourth","Służy do tworzenia innych kolorów"
"scss/description/color--primary","Służy do tekstu gdy kolor nie jest ustawiona na inny, jako tło przycisków oraz do tworzenia innych kolorów"
"scss/description/color--secondary","Używany do tła, tekstu poziomu nawigacji 0, tekstu przycisków oraz do tworzenia innych kolorów"
"scss/description/color--third","Używany jako tło dla przycisków akcji, licznika koszyka, dostępności „w asortymencie”, linków i do tworzenia innych kolorów"
"scss/description/data-table__td_background-color","Kolor tła korpusu tabel danych"
"scss/description/data-table__td_color","Kolor tekstu korpusu tabel danych"
"scss/description/data-table__th_background-color","Kolor tła nagłówka tabel danych"
"scss/description/data-table__th_color","Kolor tekstu nagłówka tabel danych"
"scss/description/data-table_border-color","Kolor tła nagłówka tabel danych"
"scss/description/font_base","Główna czcionka, używana we wszystkich sekcjach gdy czcionka nie jest ustawiona na inną?"
"scss/description/font-family-base","Główna rodzina czcionek"
"scss/description/font-size","Główny rozmiar czcionki"
"scss/description/font-style","Główny styl czcionki"
"scss/description/font-weight","Główna grubość czcionki"
"scss/description/google_fonts","Wybierz czcionki google, które chcesz włączyć na Twojej stronie"
"scss/description/header_separator-line_border-color","Linia separujaca linki"
"scss/description/input-text_background-color",
"scss/description/input-text_border",
"scss/description/input-text_border-color",
"scss/description/letter-spacing",
"scss/description/line-height","Głowna wysokość linii"
"scss/description/message--error__background-color","Kolor tła wiadomości o błędzie"
"scss/description/message--notice_background-color","Kolor tła wiadomości informacyjnej"
"scss/description/message--success_background-color","Kolor tła wiadomości o powodzeniu operacji"
"scss/description/mini-cart__block-content_background-color","Kolor tła bloku mini koszyka"
"scss/description/mini-cart__block-content_color","Kolor tekstu bloku mini koszyka"
"scss/description/mini-cart__link_color","Kolor linku mini koszyka"
"scss/description/mini-cart__link--hover_color","Kolor linku koszyka po najechaniu kursorem"
"scss/description/nav__button_background-color","Kolor tła przycisku nawigacji"
"scss/description/nav__button_color","Kolor tekstu przycisku nawigacji"
"scss/description/nav__button_font",
"scss/description/nav--primary__level0-link_color","Kolor tekstu pierwszego stopnia"
"scss/description/nav--primary__level0-link_font",
"scss/description/nav--primary__level0-link_padding","Wypełnienie linku (wewnętrzna przestrzeń nawigacji)"
"scss/description/nav--primary__level0-link_padding-right",
"scss/description/nav--primary__level0-link_padding-top",
"scss/description/nav--primary__level0-link--hover_color","Kolor tekstu pierwszego poziomu po najechaniu kursorem"
"scss/description/nav--primary__level0-list_padding-global",
"scss/description/nav--primary__level0-list-separator_color","Kolor linii separujacej między linkami nawigacji"
"scss/description/nav--primary__level1-link_font",
"scss/description/nav--primary__level2_background-color","Kolor tła trzeciego stopnia nawigacji "
"scss/description/nav--primary__level2-link_color","Kolor tekstu trzeciego stopnia nawigacji "
"scss/description/nav--primary__level2-link_font",
"scss/description/nav--primary__level2-link_padding",
"scss/description/nav--primary__level2-link_padding-right",
"scss/description/nav--primary__level2-link_padding-top","Nawigacja drugiego poziomu Uzupełnianie przedmiotów "
"scss/description/nav--primary__level3_background-color","Kolor tła dla poziomu czwartego nawigacji"
"scss/description/nav--primary__level3-link_color","Kolor tekstu poziomu czwartego nawigacji"
"scss/description/nav--primary__level3-link_font",
"scss/description/nav--primary__level3-link_padding",
"scss/description/nav--primary__level3-link_padding-right",
"scss/description/nav--primary__level3-link_padding-top",
"scss/description/nav--primary__level4_background-color","Kolor tła dla poziomu piatego nawigacji"
"scss/description/nav--primary__level4-link_color","Kolor tekstu poziomu piatego nawigacji"
"scss/description/nav--primary__level4-link_font",
"scss/description/nav--primary__level4-link_padding",
"scss/description/nav--primary__level4-link_padding-right",
"scss/description/nav--primary__level4-link_padding-top",
"scss/description/nav--primary__submenu_background-color","Kolor tła dla poziomu szóstego nawigacji"
"scss/description/nav--primary__submenu_color","Kolor tekstu poziomu szóstego nawigacji"
"scss/description/nav--primary__ul-level0-link_padding","Uzupełnianie każdego linku (wewęntrzna przestrzeń nawigacji)"
"scss/description/nav--primary_background-color","Kolor tła dla poziomu pierwszego nawigacji"
"scss/description/page_background-color","Kolor tła na kazdej stronie"
"scss/description/page_color","Kolor tekstu na kazdej stronie (gdy nie jest ustawiony na inny)"
"scss/description/page_size",
"scss/description/page-container_background-color","Kolor tła zbioru na kazdej stronie"
"scss/description/page-footer__link--hover_color","Kolor linku w stopce po najechaniu kursorem"
"scss/description/page-footer__marketing-box--newsletter_color","Kolor tekstu stopki w sekcji newslettera"
"scss/description/page-footer__marketing-box--shipping_color","Kolor tekstu stopki w sekcji lewej"
"scss/description/page-footer__marketing-box--support_color","Kolor tekstu stopki w sekcji środkowej"
"scss/description/page-footer_background-color",
"scss/description/page-footer_color","Kolor tekstu stopki "
"scss/description/page-footer_link-color","Kolor linku w stopce"
"scss/description/page-header_background-color","Kolor tła nagłówka"
"scss/description/page-header_color","Kolor tekstu nagłówka, taki jak: Tekst koszyka, aktywne linki i linki po najechaniu kursorem"
"scss/description/page-header_link_color","Kolor linku nagłówka oprócz tekstu koszyka i aktywnego linku"
"scss/description/page-main_background-color","Kolor tła kontenera oprócz nagłówka i stopki"
"scss/description/page-main_color","Kolor tekstu kontenera (gdzie nie jest specjalnie ustawiony), za wyjątkiem nagłówka i stopki"
"scss/description/page-subtitle_color","Kolor tekstu napisów powiązanych, Upsells, Strona główna, Nowe produkty"
"scss/description/page-subtitle_font",
"scss/description/page-title_color","Kolor tekstu tytułu strony na kasie, w koszyku, szczegółach produktu, porównaniu, logowaniu, rejestracji, stronach sukcesu"
"scss/description/page-title_font",
"scss/description/preloader__cicle-1_stroke","Kolor pierwszego koła Preloadera"
"scss/description/preloader__cicle-2_stroke","Kolor drugiego  koła Preloadera"
"scss/description/product_price_font",
"scss/description/product_price_list_font",
"scss/description/product_title_font",
"scss/description/product-category__title_color","Kolor tekstu strony kategorii i tytułu wyników wyszukiwania"
"scss/description/product-category__title_font",
"scss/description/product-compare__item__product-image_background-color","Kolor tła obrazu każdego elementu na liście porównania"
"scss/description/product-view__add-to-cart__button_background-color","Kolor tła przycisku „dodaj do koszyka”"
"scss/description/product-view__add-to-cart__button_color","Kolor tekstu przycisku „dodaj do koszyka”"
"scss/description/product-view__add-to-cart__button_font",
"scss/description/product-view__add-to-cart__input_display","Tryb wyświetlania dla wprowadzanej ilości"
"scss/description/product-view__availability__in-stock_color","Kolor tekstu „w asortymencie”"
"scss/description/product-view__availability__out-of-stock_color","Kolor tekstu „brak asortymentu”"
"scss/description/product-view__availability_display","Tryb wyświetlania dla tekstu dostepności"
"scss/description/product-view__availability_font",
"scss/description/product-view__price_color",
"scss/description/product-view__product-collateral__list__item_color","Kolor tekstu kart"
"scss/description/product-view__product-collateral__list__item-active_background-color","Kolor tła aktywnych kart"
"scss/description/product-view__product-collateral__list__item-active_color","Kolor tekstu aktywnych kart"
"scss/description/product-view__product-image_background-color",
"scss/description/product-view__product-name_color","Kolor nazwy produktu"
"scss/description/product-view__product-options__required_color","Kolor tekstu SKU i etykiety (za wyjatkiem prostych produktów)"
"scss/description/product-view__product-options__required_font",
"scss/description/product-view__product-shop__breadcrumbs_display","Tryb wyswietlania dla okruszków"
"scss/description/product-view__sku_display","Tryb wyświetlania dla SKU"
"scss/description/products-grid__item__characteristics_color","Kolor tekstu dla wskazówki podatkowej na stronie kategorii"
"scss/description/products-grid__item__price_color","Kolor ceny na liście produktów"
"scss/description/products-grid__item__product-name_color","Kolor tekstu nazwy produktu"
"scss/description/products-grid__item__product-name_font",
"scss/description/products-grid__item__tax-details_display","Tryb wyświetlania dla podatku"
"scss/description/products-grid__item-inner_background-color","Kolor tła dla każdej pozycja na liście produktów"
"scss/description/products-grid__product-box_text-align",
"scss/description/products-list__item__actions_margin",
"scss/description/products-list__item__actions_margin-top","Odstępy pomiędzy przyciskami akcyjnymi"
"scss/description/products-list__item__price_margin",
"scss/description/products-list__item__price_margin-bottom","Odstępy pod cenami produktów "
"scss/description/products-list__item__product-image_background-color","Kolor tła obrazu każdej pozycji na liście produktów"
"scss/description/products-list__item__product-name_margin",
"scss/description/products-list__item__product-name_margin-bottom","Odstępy pod nazwami produktów "
"scss/description/products-list__product-box_text-align",
"scss/description_auto/account__block-content__list__current_background-color","4% ciemniejszy niś drugi kolor"
"scss/description_auto/account__block-content__list__current_color","Pierwszy kolor"
"scss/description_auto/account__block-content__list_color","35% nieprzezroczystości od pierwszego koloru"
"scss/description_auto/add-to-links_color","Pierwszy kolor"
"scss/description_auto/add-to-links_font",
"scss/description_auto/add-to-links_font-size","12px"
"scss/description_auto/add-to-links_text-transform","nic"
"scss/description_auto/badge_font",
"scss/description_auto/badge_font-size","13px"
"scss/description_auto/badge_font-weight",700
"scss/description_auto/badge_text-transform","duże litery"
"scss/description_auto/badge--new_background-color","16% jaśniejszy od trzeciego koloru"
"scss/description_auto/badge--new_color","Drugi kolor"
"scss/description_auto/badge--new_display","blok"
"scss/description_auto/badge--sale_background-color","2% ciemniejszy niż czwarty kolor"
"scss/description_auto/badge--sale_color","Drugi kolor"
"scss/description_auto/badge--sale_display","blok"
"scss/description_auto/block__block-title_background-color","4% ciemniejszy niż drugi kolor"
"scss/description_auto/block__block-title_color","Pierwszy kolor"
"scss/description_auto/block-layered-nav__title_color","Pierwszy kolor"
"scss/description_auto/block-layered-nav__title_font",
"scss/description_auto/block-layered-nav__title_font-size","22px"
"scss/description_auto/block-layered-nav__title_font-weight",400
"scss/description_auto/breadcrumbs__leaf_color","18% jaśniejszy od pierwszego koloru"
"scss/description_auto/breadcrumbs_color","48% jaśniejszy od pierwszego koloru"
"scss/description_auto/breadcrumbs_display","blok"
"scss/description_auto/breadcrumbs_font",
"scss/description_auto/breadcrumbs_font-size","13px"
"scss/description_auto/breadcrumbs_font-weight",400
"scss/description_auto/breadcrumbs_text-transform","nic"
"scss/description_auto/button_background-color","Pierwszy kolor"
"scss/description_auto/button_color","Drugi kolor"
"scss/description_auto/button-action_background-color","Trzeci kolor"
"scss/description_auto/button-action_color","Drugi kolor"
"scss/description_auto/cart__btn-checkout_background-color","Przyciski > Kolor tła działania"
"scss/description_auto/cart__btn-checkout_color","Przyciski > Kolor tekstu działania"
"scss/description_auto/cart__cart-totals__table_background-color","Pierwszy kolor"
"scss/description_auto/cart__cart-totals__table_color","Primary color"
"scss/description_auto/cart__cart-totals__total_color","35% nieprzezroczystości od pierwszego koloru"
"scss/description_auto/cart__discount__button_background-color","2% ciemniejszy niż czwarty kolor"
"scss/description_auto/cart__discount__button_color","Drugi kolor"
"scss/description_auto/cart-table__item-options_color","Pierwszy kolor"
"scss/description_auto/cart-table__item-options_font",
"scss/description_auto/cart-table__item-options_font-size","13px"
"scss/description_auto/cart-table__product-image_background-color","Biały"
"scss/description_auto/cart-table__product-name_color","Pierwszy kolor"
"scss/description_auto/cart-table__product-name_font",
"scss/description_auto/cart-table__product-name_font-size","13px"
"scss/description_auto/cart-table__product-name_font-weight",400
"scss/description_auto/cart-table__product-price_color","4% ciemniejszy niż drugi kolor"
"scss/description_auto/cart-table__product-price_font",
"scss/description_auto/cart-table__product-price_font-size","13px"
"scss/description_auto/cart-table__product-price_font-weight",400
"scss/description_auto/cart-table__product-sku_display","blok"
"scss/description_auto/cart-table__sku-label_color","35% nieprzezroczystości od pierwszego koloru"
"scss/description_auto/cart-table__sku-label_font",
"scss/description_auto/cart-table__sku-label_font-size","13px"
"scss/description_auto/cart-table_background-color","4% ciemniejszy niż drugi kolor"
"scss/description_auto/checkout-onepage__buttons_background-color","Trzeci kolor"
"scss/description_auto/checkout-onepage__buttons_color","Drugi kolor"
"scss/description_auto/checkout-onepage__buttons_font",
"scss/description_auto/checkout-onepage__buttons_font-size","13px"
"scss/description_auto/checkout-onepage__buttons_font-weight",700
"scss/description_auto/checkout-onepage__buttons_text-transform","du?e litery"
"scss/description_auto/checkout-onepage__progress-title_background-color","4% ciemniejszy niż drugi kolor"
"scss/description_auto/checkout-onepage__progress-title_color","35% nieprzezroczystości od pierwszego koloru"
"scss/description_auto/checkout-onepage__progress-title_font",
"scss/description_auto/checkout-onepage__progress-title_font-size","13px"
"scss/description_auto/checkout-onepage__progress-title_font-weight",400
"scss/description_auto/checkout-onepage__progress-title_text-transform","duże litery"
"scss/description_auto/checkout-onepage__step-title_active_color","Pierwszy kolor"
"scss/description_auto/checkout-onepage__step-title_border-bottom-color","10% ciemniejszy niż kolor tła kontenera"
"scss/description_auto/checkout-onepage__step-title_color","35% nieprzezroczystości od pierwszego koloru"
"scss/description_auto/checkout-onepage__step-title_font",
"scss/description_auto/checkout-onepage__step-title_font-size","13px"
"scss/description_auto/checkout-onepage__step-title_font-weight",400
"scss/description_auto/checkout-onepage__step-title_text-transform","duże litery"
"scss/description_auto/color--fifth",
"scss/description_auto/color--fourth",
"scss/description_auto/color--primary",
"scss/description_auto/color--secondary",
"scss/description_auto/color--third",
"scss/description_auto/data-table__td_background-color","Drugi kolor"
"scss/description_auto/data-table__td_color","Pierwszy kolor"
"scss/description_auto/data-table__th_background-color","4% ciemniejszy niż drugi kolor"
"scss/description_auto/data-table__th_color","Pierwszy kolor"
"scss/description_auto/data-table_border-color","4% ciemniejszy niż drugi kolor"
"scss/description_auto/font_base",
"scss/description_auto/font-family-base","Roboto', Arial, sans-serif"
"scss/description_auto/font-size","13px"
"scss/description_auto/font-style","normal"
"scss/description_auto/font-weight",400
"scss/description_auto/google_fonts",
"scss/description_auto/header_separator-line_border-color","8% ciemniejszy niż kolor tła nagłówka"
"scss/description_auto/input-text_background-color",
"scss/description_auto/input-text_border",
"scss/description_auto/input-text_border-color",
"scss/description_auto/letter-spacing",
"scss/description_auto/line-height","17px"
"scss/description_auto/message--error__background-color",
"scss/description_auto/message--notice_background-color",
"scss/description_auto/message--success_background-color",
"scss/description_auto/mini-cart__block-content_background-color","36% jasniejszy od czwartego koloru"
"scss/description_auto/mini-cart__block-content_color","Pierwszy kolor"
"scss/description_auto/mini-cart__link_color","Nagłówek > Kolor tekstu"
"scss/description_auto/mini-cart__link--hover_color","36% jaśniejszy od czwartego koloru"
"scss/description_auto/nav__button_background-color","18% jaśniejszy od pierwszego koloru"
"scss/description_auto/nav__button_color","Drugi kolor"
"scss/description_auto/nav__button_font",
"scss/description_auto/nav__button_font-size","15px"
"scss/description_auto/nav__button_font-weight",700
"scss/description_auto/nav__button_text-transform","duże litery"
"scss/description_auto/nav--primary__level0-link_color","Drugi kolor"
"scss/description_auto/nav--primary__level0-link_font",
"scss/description_auto/nav--primary__level0-link_font-size","15px"
"scss/description_auto/nav--primary__level0-link_font-weight",900
