"%s %s cycle.","%s %s ciclu."
"Credit card type is not allowed for this payment method.","Tipul cardului de credit nu este permis pentru această metodă de plată."
"Currency","Valuta"
"Currency code is undefined.","Codul valutei este nedefinit."
"Customer ID is not set.","ID-ul client nu este setat."
"Day","Ziua"
"Debug Mode","Mod Depanare"
"Enabled","Activat"
"Expiration Date","Data Expirării"
"Expiration Date: %s/%s","Dată Expirare: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Numele complet al persoanei care primește produsul sau serviciul plătit prin plata recurentă."
Google Checkout has been deprecated.,Finalizarea Comandă Google e depășită."
"Incorrect credit card expiration date.","Dată expirare card credit incorectă."
"Initial Fee","Taxă Inițială"
"Initial non-recurring payment amount due immediately upon profile creation.","Sumă plată inițială non-recurentă de achitat imediat după crearea profilului."
"Instructions","Instrucțiuni"
"Internal Reference ID","ID Referință Internă"
"Invalid Credit Card Number","Număr Card Credit Invalid"
"Issue Number","Număr Emitere"
"Make Check Payable to","Cec Plătibil Către"
"Make Check payable to:","Cec Plătibil către:"
"Make Check payable to: %s","Cec plătibil către: %s"
"Maximum Billing Cycles","Cicluri Facturare Maxime"
"Maximum Order Total","Total Maxim Comandă"
"Maximum Payment Failures","Eșecuri Plată Maxime"
"Maximum Trial Billing Cycles","Cicluri Facturare Probă Maxime"
"Merchant ID","ID Comerciant"
"Minimum Order Total","Total Minim Comandă"
"Month","Luna"
"N/A","Indisponibil"
"Name on Card","Nume pe Card"
"Name on the Card","Nume de pe Cardul"
"Name on the Card: %s","Numele de pe Cardul: %s"
"New Order Status","Status Comandă Nouă"
"Number of billing periods that make up one billing cycle.","Număr perioade facturare care compun un ciclu de facturare."
"Order action is not available.","Acțiune comandă indisponibilă."
"Overrides API URL that may be specified by a payment method.","Suprascrie URL-ul API care ar putea fi specificat de o metodă de plată."
"Password","Parolă"
"Payment ID: %s","ID Plată: %s"
"Payment Method","Metodă Plată"
"Payment Methods","Metode Plată"
"Payment Methods Section","Secțiune Metode Plată"
"Payment Reference ID","ID Referință Plată"
"Payment Services","Servicii Plată"
"Payment from Applicable Countries","Plata din Țări Aplicabile"
"Payment from Specific Countries","Plata din Anumite Țări"
"Payment method code is not set.","Codul metodei de plată nu este setat."
"Payment method code is undefined.","Codul metodei de plată nu este definit."
"Payment profile is invalid:\n%s","Profil de plată invalid:\n%s"
"Period frequency is wrong.","Frecvența perioadei este greșită."
"Please enter a valid credit card verification number.","Introduceți un număr de verificare card credit valid."
"Processor ID","ID Procesor"
"Purchase Order","Achiziționare Comandă"
"Purchase Order Number","Număr Achiziționare Comandă"
"Purchase Order Number:","Număr Achiziționare Comandă:"
"Purchase Order Number: %s","Număr Achiziționare Comandă: %s"
"Recurring Profile","Profil Recurent"
"Recurring Profile Start Date","Dată Începere Profil Recurent"
"Recurring profile start date has invalid format.","Data de începere profil recurent are formatul greșit."
"Reference ID is not set.","ID-ul referință nu este setat."
"Refund action is not available.","Acțiunea de rambursare nu este disponibilă."
"Repeats %s time(s).","Repetă de %s ori."
"Repeats until suspended or canceled.","Repetă până la suspendare sau anulare."
"Request Card Security Code","Cerere Cod Securitate Card"
"Saved CC","CC Salvat"
"Schedule Description","Descriere Program"
"Schedule description must be not empty.","Descrierea programului nu poate fi goală."
"Selected payment type is not allowed for billing country.","Tipul de plată selectat nu este permis pentru țara de facturare."
"Send Check to","Trimitere cec către"
"Send Check to:","Trimitere cec către:"
"Severe 3D Secure Card Validation","Validare Severă Card 3D Secure"
"Severe validation removes chargeback liability on merchant.","Validarea severă elimină răspunderea comerciantului pentru chargeback."
"Shipping Amount","Sumă Expediere"
"Short description of the recurring payment. By default equals to the product name.","Descriere scurtă a plății recurente. Implicit este egală cu numele produsului."
"Sort Order","Ordine Sortare"
"Start Date","Data de Pornire"
"Start date has invalid format.","Data de pornire are formatul invalid."
"Start date is undefined.","Data de pornire este nedefinită."
"Subscriber Name","Nume Abonat"
"Switch/Solo/Maestro Issue Number","Număr Emitere Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Numai Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Dată Pornire Switch/Solo/Maestro"
"Tax Amount","Sumă TVA"
"Test Mode","Mod Test"
"The date when billing for the profile begins.","Data când facturarea pentru profil începe."
"The number of billing cycles for payment period.","Numărul de cicluri de facturare pentru perioada de plată."
"The number of scheduled payments that can fail before the profile is automatically suspended.","Numărul de plăți programate care pot eșua înainte ca profilul să fie suspendat automat."
"The payment review action is unavailable.","Acțiunea de revizuire plată nu este disponibilă."
"The requested Payment Method is not available.","Metoda de Plată cerută nu este disponibilă."
"Title","Titlu"
"Trial Billing Amount","Sumă Facturare de Probă"
"Trial Billing Frequency","Frecvență Facturare de Probă"
"Trial Billing Period Unit","Unitate Perioadă Facturarede  Probă"
"Trial Period","Perioadă de Probă"
"Trial billing amount is wrong.","Sumă facturare de probă greșită."
"Trial billing period unit is wrong.","Unitate perioadă facturare de probă greșită."
"Trial period frequency is wrong.","Frecvență perioadă de probă greșită."
"Trial period max cycles is wrong.","Maxim cicluri perioadă de probă greșit."
"Two Weeks","Două Săptămâni"
"Unable to save Billing Agreement:","Nu se poate salva Acordul de Facturare:"
"Unit for billing during the subscription period.","Unitate de facturare pe parcursul perioadei de abonare."
"Unsupported currency code: %s.","Cod valută nesuportat: %s."
"Void action is not available.","Acțiunea de anulare nu este disponibilă."
"Week","Săptămână"
"What is this?","Ce este asta?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Dacă să se suspende profilul de plată în caz că taxa inițială eșuează sau să se adauge la balanța excedentă."
"Wrong %s specified.","%s specificat greșit."
"Wrong or empty billing amount specified.","Suma de facturare specificată este greșită sau goală."
"Year","An"
"Zero Subtotal Checkout","Finalizare Comandă Subtotal Zero"
"Meta Information","Informații Meta"
"Meta Title","Titlu Meta"
"Group Price","Preț grupat"
"Tier Price","Preț de bază"
"Prices","Prețuri"
"Products with recurring profile participate in catalog as nominal items.","Produsele cu profil recurent participă la catalog ca elemente nominale."
"There are no items in customer's shopping cart at the moment","Nu există în acest moment niciun produs în coșul de cumpărături al clientului"
"Abandoned Cart Dashboard","Cosuri anulate"
"Orders made from abandoned carts","Comenzi facute din cosuri anulate."
"Mails sent from autoresponders and abandoned carts","Email-uri trimise din cosuri anulate."
